source, target, distance,
Allen_pulvinar_of_thalamus_L,Allen_thalamus_L,-1
Allen_precuneus_L,Allen_supraparietal_lobule_L,-1
Allen_postcentral_gyrus_L,Allen_white_matter_of_forebrain_L,-1
Allen_fornix_L,Allen_white_matter_of_forebrain_L,-1
Allen_planum_temporale_L,Allen_white_matter_of_forebrain_L,-1
Allen_superior_occipital_gyrus_L,Allen_white_matter_of_forebrain_L,-1
Allen_habenular_nuclei_L,Allen_thalamus_L,-1
Allen_mediodorsal_nucleus_of_thalamus_L,Allen_midline_nuclear_complex_L,-1
Allen_mediodorsal_nucleus_of_thalamus_L,Allen_pulvinar_of_thalamus_L,-1
Allen_postcentral_gyrus_L,Allen_supramarginal_gyrus_L,-1
Allen_lateral_posterior_nucleus_of_thalamus_L,Allen_thalamus_L,-1
Allen_white_matter_of_forebrain_L,Allen_zona_incerta_L,-1
Allen_lateral_posterior_nucleus_of_thalamus_L,Allen_ventral_lateral_nucleus_of_thalamus_L,-1
Allen_parietal_operculum_L,Allen_supramarginal_gyrus_L,-1
Allen_paracentral_lobule_rostral_part_L,Allen_white_matter_of_forebrain_L,-1
Allen_mammillothalamic_tract_L,Allen_thalamus_L,-1
Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_paracentral_lobule_rostral_part_L,-1
Allen_paracentral_lobule_caudal_part_L,Allen_postcentral_gyrus_L,-1
Allen_lateral_dorsal_nucleus_of_thalamus_L,Allen_thalamus_L,-1
Allen_angular_gyrus_L,Allen_supraparietal_lobule_L,-1
Allen_postcentral_gyrus_L,Allen_primary_motor_cortex_L,-1
Allen_parietal_operculum_L,Allen_postcentral_gyrus_L,-1
Allen_body_of_caudate_L,Allen_body_of_lateral_ventricle_L,-1
Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_white_matter_of_forebrain_L,-1
Allen_thalamus_L,Allen_tuberal_region_of_HTH_L,-1
Allen_paracentral_lobule_caudal_part_L,Allen_paracentral_lobule_rostral_part_L,-1
Allen_paracentral_lobule_rostral_part_L,Allen_primary_motor_cortex_L,-1
Allen_long_insular_gyri_L,Allen_white_matter_of_forebrain_L,-1
Allen_habenular_nuclei_L,Allen_white_matter_of_forebrain_L,-1
Allen_supramarginal_gyrus_L,Allen_white_matter_of_forebrain_L,-1
Allen_cuneus_L,Allen_white_matter_of_forebrain_L,-1
Allen_body_of_lateral_ventricle_L,Allen_white_matter_of_forebrain_L,-1
Allen_body_of_caudate_L,Allen_white_matter_of_forebrain_L,-1
Allen_paracentral_lobule_caudal_part_L,Allen_white_matter_of_forebrain_L,-1
Allen_long_insular_gyri_L,Allen_parietal_operculum_L,-1
Allen_parietal_operculum_L,Allen_white_matter_of_forebrain_L,-1
Allen_thalamus_L,Allen_white_matter_of_forebrain_L,-1
Allen_septal_nuclei_L,Allen_white_matter_of_forebrain_L,-1
Allen_anterior_commissure_R,Allen_white_matter_of_forebrain_R,-1
Allen_body_of_lateral_ventricle_L,Allen_thalamus_L,-1
Allen_fornix_L,Allen_septal_nuclei_L,-1
Allen_internal_segment_of_globus_pallidus_L,Allen_white_matter_of_forebrain_L,-1
Allen_mediodorsal_nucleus_of_thalamus_L,Allen_thalamus_L,-1
Allen_thalamus_L,Allen_ventral_lateral_nucleus_of_thalamus_L,-1
Allen_supraparietal_lobule_L,Allen_white_matter_of_forebrain_L,-1
Allen_angular_gyrus_L,Allen_supramarginal_gyrus_L,-1
Allen_long_insular_gyri_R,Allen_white_matter_of_forebrain_R,-1
Allen_paracentral_lobule_caudal_part_L,Allen_primary_motor_cortex_L,-1
Allen_parietal_operculum_L,Allen_primary_motor_cortex_L,-1
Allen_habenular_nuclei_L,Allen_mediodorsal_nucleus_of_thalamus_L,-1
Allen_postcentral_gyrus_L,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-1
Allen_transverse_temporal_gyrus_Heschls_gyrus_L,Allen_white_matter_of_forebrain_L,-1
Allen_body_of_lateral_ventricle_L,Allen_fornix_L,-1
Allen_precuneus_L,Allen_white_matter_of_forebrain_L,-1
Allen_planum_temporale_L,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-1
Allen_precuneus_L,Allen_superior_occipital_gyrus_L,-1
Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_precuneus_L,-1
Allen_cuneus_L,Allen_superior_occipital_gyrus_L,-1
Allen_perirhinal_gyrus_rostral_part_of_FuGt_L,Allen_white_matter_of_forebrain_L,-1
Allen_postcentral_gyrus_L,Allen_supraparietal_lobule_L,-1
Allen_tail_of_caudate_R,Allen_white_matter_of_forebrain_R,-1
Allen_angular_gyrus_L,Allen_white_matter_of_forebrain_L,-1
Allen_body_of_lateral_ventricle_L,Allen_septal_nuclei_L,-1
Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,Allen_thalamus_L,-1
Allen_superior_occipital_gyrus_L,Allen_supraparietal_lobule_L,-1
Allen_paracentral_lobule_caudal_part_L,Allen_precuneus_L,-1
Allen_tuberal_region_of_HTH_L,Allen_white_matter_of_forebrain_L,-1
Allen_angular_gyrus_L,Allen_superior_occipital_gyrus_L,-1
Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_paracentral_lobule_caudal_part_L,-1
Allen_body_of_lateral_ventricle_L,Allen_perirhinal_gyrus_rostral_part_of_FuGt_L,-1
Allen_long_insular_gyri_L,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-1
Allen_midline_nuclear_complex_L,Allen_white_matter_of_forebrain_L,-1
Allen_supramarginal_gyrus_L,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-1
Allen_parietal_operculum_L,Allen_planum_temporale_L,-1
Allen_parietal_operculum_L,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-1
Allen_midline_nuclear_complex_L,Allen_thalamus_L,-1
Allen_thalamus_L,Allen_zona_incerta_L,-1
Allen_supramarginal_gyrus_L,Allen_supraparietal_lobule_L,-1
Allen_planum_temporale_L,Allen_supramarginal_gyrus_L,-1
Allen_lateral_posterior_nucleus_of_thalamus_L,Allen_pulvinar_of_thalamus_L,-1
Allen_parietal_operculum_R,Allen_planum_temporale_R,-1
Allen_cuneus_L,Allen_precuneus_L,-1
Allen_midline_nuclear_complex_L,Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,-1
Allen_primary_motor_cortex_L,Allen_white_matter_of_forebrain_L,-1
Allen_fornix_L,Allen_tuberal_region_of_HTH_L,-1
Allen_fornix_L,Allen_tuberal_region_of_HTH_L,-1
Allen_fornix_L,Allen_white_matter_of_forebrain_L,-1
Allen_primary_motor_cortex_L,Allen_white_matter_of_forebrain_L,-1
Allen_body_of_caudate_L,Allen_body_of_lateral_ventricle_L,-1
Allen_habenular_nuclei_L,Allen_thalamus_L,-1
Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_precuneus_L,-1
Allen_body_of_caudate_L,Allen_white_matter_of_forebrain_L,-1
Allen_parietal_operculum_L,Allen_white_matter_of_forebrain_L,-1
Allen_septal_nuclei_L,Allen_white_matter_of_forebrain_L,-1
Allen_paracentral_lobule_caudal_part_L,Allen_white_matter_of_forebrain_L,-1
Allen_precuneus_L,Allen_superior_occipital_gyrus_L,-1
Allen_perirhinal_gyrus_rostral_part_of_FuGt_L,Allen_white_matter_of_forebrain_L,-1
Allen_cuneus_L,Allen_white_matter_of_forebrain_L,-1
Allen_paracentral_lobule_rostral_part_L,Allen_primary_motor_cortex_L,-1
Allen_thalamus_L,Allen_zona_incerta_L,-1
Allen_body_of_lateral_ventricle_L,Allen_thalamus_L,-1
Allen_thalamus_L,Allen_white_matter_of_forebrain_L,-1
Allen_mediodorsal_nucleus_of_thalamus_L,Allen_midline_nuclear_complex_L,-1
Allen_superior_occipital_gyrus_L,Allen_supraparietal_lobule_L,-1
Allen_parietal_operculum_R,Allen_planum_temporale_R,-1
Allen_postcentral_gyrus_L,Allen_supraparietal_lobule_L,-1
Allen_angular_gyrus_L,Allen_white_matter_of_forebrain_L,-1
Allen_lateral_posterior_nucleus_of_thalamus_L,Allen_thalamus_L,-1
Allen_anterior_commissure_R,Allen_white_matter_of_forebrain_R,-1
Allen_supramarginal_gyrus_L,Allen_white_matter_of_forebrain_L,-1
Allen_postcentral_gyrus_L,Allen_supramarginal_gyrus_L,-1
Allen_tail_of_caudate_R,Allen_white_matter_of_forebrain_R,-1
Allen_transverse_temporal_gyrus_Heschls_gyrus_L,Allen_white_matter_of_forebrain_L,-1
Allen_planum_temporale_L,Allen_white_matter_of_forebrain_L,-1
Allen_parietal_operculum_L,Allen_supramarginal_gyrus_L,-1
Allen_postcentral_gyrus_L,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-1
Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_paracentral_lobule_rostral_part_L,-1
Allen_body_of_lateral_ventricle_L,Allen_perirhinal_gyrus_rostral_part_of_FuGt_L,-1
Allen_fornix_L,Allen_septal_nuclei_L,-1
Allen_tuberal_region_of_HTH_L,Allen_white_matter_of_forebrain_L,-1
Allen_postcentral_gyrus_L,Allen_primary_motor_cortex_L,-1
Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,Allen_thalamus_L,-1
Allen_precuneus_L,Allen_white_matter_of_forebrain_L,-1
Allen_mediodorsal_nucleus_of_thalamus_L,Allen_pulvinar_of_thalamus_L,-1
Allen_angular_gyrus_L,Allen_supraparietal_lobule_L,-1
Allen_lateral_posterior_nucleus_of_thalamus_L,Allen_ventral_lateral_nucleus_of_thalamus_L,-1
Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_paracentral_lobule_caudal_part_L,-1
Allen_angular_gyrus_L,Allen_supramarginal_gyrus_L,-1
Allen_pulvinar_of_thalamus_L,Allen_thalamus_L,-1
Allen_long_insular_gyri_L,Allen_parietal_operculum_L,-1
Allen_body_of_lateral_ventricle_L,Allen_fornix_L,-1
Allen_parietal_operculum_L,Allen_planum_temporale_L,-1
Allen_long_insular_gyri_L,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-1
Allen_paracentral_lobule_caudal_part_L,Allen_precuneus_L,-1
Allen_thalamus_L,Allen_ventral_lateral_nucleus_of_thalamus_L,-1
Allen_cuneus_L,Allen_precuneus_L,-1
Allen_paracentral_lobule_rostral_part_L,Allen_white_matter_of_forebrain_L,-1
Allen_long_insular_gyri_R,Allen_white_matter_of_forebrain_R,-1
Allen_parietal_operculum_L,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-1
Allen_supraparietal_lobule_L,Allen_white_matter_of_forebrain_L,-1
Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_white_matter_of_forebrain_L,-1
Allen_midline_nuclear_complex_L,Allen_white_matter_of_forebrain_L,-1
Allen_parietal_operculum_L,Allen_primary_motor_cortex_L,-1
Allen_mediodorsal_nucleus_of_thalamus_L,Allen_thalamus_L,-1
Allen_mammillothalamic_tract_L,Allen_thalamus_L,-1
Allen_midline_nuclear_complex_L,Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,-1
Allen_paracentral_lobule_caudal_part_L,Allen_primary_motor_cortex_L,-1
Allen_supramarginal_gyrus_L,Allen_supraparietal_lobule_L,-1
Allen_body_of_lateral_ventricle_L,Allen_white_matter_of_forebrain_L,-1
Allen_superior_occipital_gyrus_L,Allen_white_matter_of_forebrain_L,-1
