source,target,distance
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_anterior_bronchus,-1
VH_M_hilum_upper_L,VH_M_left_medial_basal_bronchopulmonary_segment,-1
VH_M_hilum_middle_R,VH_M_right_lateral_bronchopulmonary_segment,-1
VH_M_hilum_lower_L,VH_M_left_lingula_inferior_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_medial_basal_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_hilum_upper_R,-1
VH_M_hilum_middle_R,VH_M_right_medial_bronchopulmonary_segment,-1
VH_M_left_lateral_basal_bronchopulmonary_segment,VH_M_left_posetrior_basal_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_lobar_bronchus_R,VH_M_hilum_R,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_superior_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_hilum_L,-1
VH_M_hilum_upper_R,VH_M_right_apical_bronchus,-1
VH_M_hilum_L,VH_M_left_inferior_lobar_bronchus,-1
VH_M_hilum_upper_R,VH_M_right_anterior_bronchopulmonary_segment,-1
VH_M_hilum_upper_R,VH_M_right_superior_lobar_bronchus,-1
VH_M_cartilage_of_the_lobar_bronchus_R,VH_M_right_superior_lobar_bronchus,-1
VH_M_hilum_upper_L,VH_M_left_superior_lobar_bronchus,-1
VH_M_hilum_lower_R,VH_M_right_posterior_basal_bronchopulmonary_segment,-1
VH_M_right_anterior_bronchopulmonary_segment,VH_M_right_lateral_bronchopulmonary_segment,-1
VH_M_right_intermediate_bronchus,VH_M_right_middle_lobar_bronchus,-1
VH_M_hilum_R,VH_M_right_lower_lobar_bronchus,-1
VH_M_right_anterior_bronchopulmonary_segment,VH_M_right_medial_bronchopulmonary_segment,-1
VH_M_hilum_L,VH_M_left_superior_bronchopulmonary_segment,-1
VH_M_bronchus,VH_M_hilum_R,-1
VH_M_left_inferior_lobar_bronchus,VH_M_left_medial_basal_bronchus,-1
VH_M_hilum_L,VH_M_left_anterior_basal_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_lateral_bronchus,-1
VH_M_right_anterior_basal_bronchus,VH_M_right_posterior_basal,-1
VH_M_hilum_R,VH_M_right_apical_bronchus,-1
VH_M_right_lateral_basal_bronchopulmonary_segment,VH_M_right_superior_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_anterior_bronchus,-1
VH_M_hilum_L,VH_M_left_lingular_bronchus,-1
VH_M_hilum_lower_R,VH_M_right_superior_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_middle_lobar_bronchus,-1
VH_M_left_inferior_lobar_bronchus,VH_M_left_superior_lobar_bronchus,-1
VH_M_hilum_lower_R,VH_M_right_lateral_bronchopulmonary_segment,-1
VH_M_left_posetrior_basal_bronchopulmonary_segment,VH_M_left_superior_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_medial_basal_bronchus,-1
VH_M_hilum_lower_R,VH_M_right_medial_basal_bronchopulmonary_segment,-1
VH_M_hilum_upper_L,VH_M_left_lingula_superior_bronchopulmonary_segment,-1
VH_M_hilum_L,VH_M_left_medial_basal_bronchus,-1
VH_M_right_anterior_basal_bronchopulmonary_segment,VH_M_right_lateral_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_lobar_bronchus_R,VH_M_hilum_lower_R,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_lateral_basal_bronchus,-1
VH_M_cartilage_of_the_lobar_bronchus_R,VH_M_right_intermediate_bronchus,-1
VH_M_right_intermediate_bronchus,VH_M_right_lower_lobar_bronchus,-1
VH_M_right_medial_basal_bronchopulmonary_segment,VH_M_right_medial_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_lobar_bronchus_L,VH_M_hilum_L,-1
VH_M_left_anterior_basal_bronchus,VH_M_left_medial_basal_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_superior_lobar_bronchus,-1
VH_M_hilum_lower_R,VH_M_right_posterior_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_lingula_superior_bronchus,-1
VH_M_hilum_lower_R,VH_M_right_anterior_basal_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_lateral_bronchus,-1
VH_M_left_anterior_basal_bronchopulmonary_segment,VH_M_left_superior_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_middle_lobar_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_posterior_basal_bronchus,-1
VH_M_hilum_R,VH_M_right_apical_bronchopulmonary_segment,-1
VH_M_right_lower_lobar_bronchus,VH_M_right_middle_lobar_bronchus,-1
VH_M_hilum_middle_R,VH_M_right_superior_bronchopulmonary_segment,-1
VH_M_left_lingula_superior_bronchus,VH_M_left_lingular_bronchus,-1
VH_M_left_apical_bronchopulmonary_segment,VH_M_left_posterior_bronchopulmonary_segment,-1
VH_M_hilum_L,VH_M_hilum_upper_L,-1
VH_M_cartilage_of_the_lobar_bronchus_R,VH_M_right_middle_lobar_bronchus,-1
VH_M_right_medial_bronchus,VH_M_right_middle_lobar_bronchus,-1
VH_M_right_lateral_bronchopulmonary_segment,VH_M_right_posterior_bronchopulmonary_segment,-1
VH_M_left_inferior_lobar_bronchus,VH_M_left_superior_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_hilum_upper_L,-1
VH_M_hilum_lower_L,VH_M_left_inferior_lobar_bronchus,-1
VH_M_hilum_R,VH_M_right_lateral_basal_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_lateral_bronchopulmonary_segment,-1
VH_M_hilum_lower_L,VH_M_left_anterior_basal_bronchus,-1
VH_M_hilum_lower_L,VH_M_left_superior_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_lobar_bronchus_L,VH_M_left_superior_lobar_bronchus,-1
VH_M_hilum_lower_R,VH_M_right_anterior_basal_bronchus,-1
VH_M_hilum_lower_R,VH_M_right_posterior_basal,-1
VH_M_hilum_lower_R,VH_M_hilum_middle_R,-1
VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_hilum_lower_L,-1
VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_lingula_inferior_bronchus,-1
VH_M_hilum_middle_R,VH_M_right_medial_bronchus,-1
VH_M_left_inferior_lobar_bronchus,VH_M_left_lateral_basal_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_superior_bronchus,-1
VH_M_hilum_lower_R,VH_M_right_superior_bronchopulmonary_segment,-1
VH_M_hilum_L,VH_M_left_medial_basal_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_posterior_basal_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_lobar_bronchus_L,VH_M_left_posterior_basal_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_posterior_bronchopulmonary_segment,-1
VH_M_right_anterior_basal_bronchopulmonary_segment,VH_M_right_anterior_basal_bronchus,-1
VH_M_right_posterior_bronchus,VH_M_right_superior_lobar_bronchus,-1
VH_M_right_posterior_basal_bronchopulmonary_segment,VH_M_right_superior_bronchopulmonary_segment,-1
VH_M_hilum_lower_L,VH_M_left_medial_basal_bronchus,-1
VH_M_left_medial_basal_bronchopulmonary_segment,VH_M_left_superior_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_hilum_upper_R,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_anterior_basal_bronchopulmonary_segment,-1
VH_M_hilum_upper_R,VH_M_right_anterior_bronchus,-1
VH_M_cartilage_of_the_lobar_bronchus_R,VH_M_right_anterior_bronchus,-1
VH_M_hilum_upper_L,VH_M_left_lingula_inferior_bronchopulmonary_segment,-1
VH_M_hilum_L,VH_M_left_lateral_basal_bronchus,-1
VH_M_right_anterior_basal_bronchopulmonary_segment,VH_M_right_superior_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_superior_bronchus,-1
VH_M_cartilage_of_the_lobar_bronchus_L,VH_M_hilum_upper_L,-1
VH_M_hilum_R,VH_M_right_lateral_bronchopulmonary_segment,-1
VH_M_right_lower_lobar_bronchus,VH_M_right_medial_basal_bronchus,-1
VH_M_left_inferior_lobar_bronchus,VH_M_left_posterior_basal_bronchus,-1
VH_M_right_apical_bronchopulmonary_segment,VH_M_right_posterior_bronchopulmonary_segment,-1
VH_M_left_anterior_bronchopulmonary_segment,VH_M_left_posterior_bronchopulmonary_segment,-1
VH_M_hilum_L,VH_M_left_superior_lobar_bronchus,-1
VH_M_cartilage_of_the_lobar_bronchus_R,VH_M_hilum_upper_R,-1
VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_lateral_basal_bronchus,-1
VH_M_hilum_upper_L,VH_M_left_superior_bronchopulmonary_segment,-1
VH_M_right_lower_lobar_bronchus,VH_M_right_superior_bronchus,-1
VH_M_right_lateral_basal_bronchus,VH_M_right_posterior_basal,-1
VH_M_right_anterior_basal_bronchopulmonary_segment,VH_M_right_medial_bronchopulmonary_segment,-1
VH_M_left_anterior_bronchopulmonary_segment,VH_M_left_apical_bronchopulmonary_segment,-1
VH_M_hilum_upper_L,VH_M_left_lingular_bronchus,-1
VH_M_right_anterior_basal_bronchopulmonary_segment,VH_M_right_medial_basal_bronchopulmonary_segment,-1
VH_M_right_lateral_bronchopulmonary_segment,VH_M_right_medial_bronchopulmonary_segment,-1
VH_M_bronchus,VH_M_cartilage_of_the_tertiary_bronchus_R,-1
VH_M_cartilage_of_the_lobar_bronchus_L,VH_M_hilum_lower_L,-1
VH_M_bronchus,VH_M_hilum_lower_R,-1
VH_M_right_lateral_bronchopulmonary_segment,VH_M_right_medial_basal_bronchopulmonary_segment,-1
VH_M_hilum_L,VH_M_left_posetrior_basal_bronchopulmonary_segment,-1
VH_M_hilum_L,VH_M_left_posterior_basal_bronchus,-1
VH_M_cartilage_of_the_lobar_bronchus_L,VH_M_left_superior_bronchus,-1
VH_M_hilum_R,VH_M_right_posterior_bronchopulmonary_segment,-1
VH_M_left_anterior_basal_bronchopulmonary_segment,VH_M_left_medial_basal_bronchopulmonary_segment,-1
VH_M_hilum_lower_L,VH_M_hilum_upper_L,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_posterior_bronchus,-1
VH_M_right_superior_bronchopulmonary_segment,VH_M_right_superior_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_anterior_basal_bronchus,-1
VH_M_hilum_R,VH_M_right_anterior_basal_bronchopulmonary_segment,-1
VH_M_hilum_L,VH_M_left_lingula_superior_bronchopulmonary_segment,-1
VH_M_right_lateral_bronchus,VH_M_right_middle_lobar_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_posterior_basal,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_hilum_middle_R,-1
VH_M_right_anterior_basal_bronchus,VH_M_right_lower_lobar_bronchus,-1
VH_M_right_posterior_bronchopulmonary_segment,VH_M_right_superior_bronchus,-1
VH_M_hilum_R,VH_M_right_superior_lobar_bronchus,-1
VH_M_hilum_upper_R,VH_M_right_apical_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_superior_bronchopulmonary_segment,-1
VH_M_hilum_middle_R,VH_M_right_middle_lobar_bronchus,-1
VH_M_left_lingula_superior_bronchopulmonary_segment,VH_M_left_superior_bronchopulmonary_segment,-1
VH_M_hilum_lower_R,VH_M_right_intermediate_bronchus,-1
VH_M_cartilage_of_the_lobar_bronchus_L,VH_M_left_lateral_basal_bronchus,-1
VH_M_hilum_L,VH_M_hilum_lower_L,-1
VH_M_left_lingular_bronchus,VH_M_left_superior_lobar_bronchus,-1
VH_M_hilum_L,VH_M_left_superior_bronchus,-1
VH_M_hilum_lower_L,VH_M_left_medial_basal_bronchopulmonary_segment,-1
VH_M_left_lingula_inferior_bronchopulmonary_segment,VH_M_left_medial_basal_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_hilum_R,-1
VH_M_left_anterior_basal_bronchopulmonary_segment,VH_M_left_posetrior_basal_bronchopulmonary_segment,-1
VH_M_left_lateral_basal_bronchopulmonary_segment,VH_M_left_superior_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_posterior_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_apical_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_superior_lobar_bronchus,-1
VH_M_hilum_R,VH_M_right_anterior_basal_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_medial_bronchus,-1
VH_M_hilum_R,VH_M_right_posterior_basal,-1
VH_M_hilum_R,VH_M_hilum_middle_R,-1
VH_M_left_anterior_basal_bronchopulmonary_segment,VH_M_left_lateral_basal_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_superior_bronchopulmonary_segment,-1
VH_M_right_lower_lobar_bronchus,VH_M_right_posterior_basal,-1
VH_M_cartilage_of_the_lobar_bronchus_R,VH_M_hilum_middle_R,-1
VH_M_bronchus,VH_M_right_lower_lobar_bronchus,-1
VH_M_right_lateral_bronchopulmonary_segment,VH_M_right_superior_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_medial_bronchopulmonary_segment,-1
VH_M_hilum_R,VH_M_right_medial_basal_bronchopulmonary_segment,-1
VH_M_hilum_middle_R,VH_M_hilum_upper_R,-1
VH_M_hilum_upper_R,VH_M_right_lateral_bronchopulmonary_segment,-1
VH_M_hilum_lower_L,VH_M_left_posetrior_basal_bronchopulmonary_segment,-1
VH_M_hilum_lower_L,VH_M_left_posterior_basal_bronchus,-1
VH_M_right_anterior_basal_bronchus,VH_M_right_lateral_basal_bronchus,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_hilum_lower_R,-1
VH_M_hilum_R,VH_M_right_anterior_bronchopulmonary_segment,-1
VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_intermediate_bronchus,-1
